symbol,category
1000000BOBUSDT,Meme Coins
1000000MOGUSDT,Meme Coins
1000BONKUSDT,Meme Coins
1000BTTCUSDT,Decentralized Storage
1000CATUSDT,Meme Coins
1000CHEEMSUSDT,Meme Coins
1000FLOKIUSDT,Meme Coins
1000LUNCUSDT,Layer 1 Blockchains
1000PEPEUSDT,Meme Coins
1000RATSUSDT,Meme Coins
1000SATSUSDT,Meme Coins
1000SHIBUSDT,Meme Coins
1000WHYUSDT,Meme Coins
1000XECUSDT,Layer 1 Blockchains
1000XUSDT,AI/Compute
1INCHUSDT,DeFi
1MBABYDOGEUSDT,Meme Coins
A2ZUSDT,Gaming/Metaverse
AAVEUSDT,DeFi
ACEUSDT,Gaming/Metaverse
ACHUSDT,Infrastructure & Tools
ACTUSDT,DeFi
ACXUSDT,Interoperability
ADAUSDT,Layer 1 Blockchains
AERGOUSDT_l1,Layer 1 Blockchains
AERGOUSDT_l2,Layer 1 Blockchains
AEROUSDT,DeFi
AEVOUSDT,DeFi
AGIXUSDT,AI/Compute
AGLDUSDT,NFTs
AGTUSDT,DeFi
AI16ZUSDT,AI/Compute
AINUSDT,AI/Compute
AIOTUSDT,AI/Compute
AIOUSDT,AI/Compute
AIUSDT,AI/Compute
AIXBTUSDT,AI/Compute
AKROUSDT,DeFi
AKTUSDT,AI/Compute
ALCHUSDT,AI/Compute
ALGOUSDT,Layer 1 Blockchains
ALICEUSDT,Gaming/Metaverse
ALLUSDT,Sports & Fan Tokens
ALPACAUSDT,DeFi
ALPHAUSDT,DeFi
ALPINEUSDT,Sports & Fan Tokens
ALTUSDT,Layer 2 Solutions
AMBUSDT,Layer 1 Blockchains
ANCUSDT,DeFi
ANIMEUSDT,Meme Coins
ANKRUSDT,Infrastructure & Tools
ANTUSDT,DeFi
APEUSDT,NFTs
API3USDT,Oracles
APTUSDT,Layer 1 Blockchains
ARBUSDT,Layer 2 Solutions
ARCUSDT,AI/Compute
ARKMUSDT,AI/Compute
ARKUSDT,Layer 1 Blockchains
ARPAUSDT,Privacy Coins
ARUSDT,Decentralized Storage
ASRUSDT,Sports & Fan Tokens
ASTRUSDT,Layer 1 Blockchains
ATAUSDT,Privacy Coins
ATHUSDT,AI/Compute
ATOMUSDT,Interoperability
AUCTIONUSDT,DeFi
AUDIOUSDT,Social & Content
AUSDT,Layer 1 Blockchains
AVAAIUSDT,AI/Compute
AVAUSDT,AI/Compute
AVAXUSDT,Layer 1 Blockchains
AWEUSDT,DeFi
AXLUSDT,Interoperability
AXSUSDT,Gaming/Metaverse
B2USDT,Layer 2 Solutions
B3USDT,Gaming/Metaverse
BABYUSDT,DeFi
BADGERUSDT,DeFi
BAKEUSDT,DeFi
BALUSDT,DeFi
BANANAS31USDT,Meme Coins
BANANAUSDT,DeFi
BANDUSDT,Oracles
BANKUSDT,DeFi
BANUSDT,Meme Coins
BASUSDT,Identity & Domains
BATUSDT,Social & Content
BBUSDT,DeFi
BCHUSDT,Layer 1 Blockchains
BDXNUSDT,Social & Content
BEAMXUSDT,Layer 1 Blockchains
BELUSDT,DeFi
BERAUSDT,Layer 1 Blockchains
BICOUSDT,Infrastructure & Tools
BIDUSDT,AI/Compute
BIGTIMEUSDT,Gaming/Metaverse
BIOUSDT,DeFi
BLUEBIRDUSDT,Index Tokens
BLURUSDT,NFTs
BLZUSDT,Decentralized Storage
BMTUSDT,Data & Analytics
BNBUSDT,Exchange Tokens
BNTUSDT,DeFi
BNXUSDT_l1,Gaming/Metaverse
BNXUSDT_l2,Gaming/Metaverse
BOMEUSDT,Meme Coins
BONDUSDT,DeFi
BRETTUSDT,Meme Coins
BROCCOLI714USDT,Meme Coins
BROCCOLIF3BUSDT,Meme Coins
BRUSDT,DeFi
BSVUSDT,Layer 1 Blockchains
BSWUSDT,DeFi
BTCDOMUSDT,Index Tokens
BTCSTUSDT,DeFi
BTCUSDT,Layer 1 Blockchains
BTRUSDT,Exchange Tokens
BTSUSDT,Layer 1 Blockchains
BTTUSDT,Decentralized Storage
BULLAUSDT,Meme Coins
BUSDT,DeFi
BZRXUSDT,DeFi
C98USDT,DeFi
CAKEUSDT,DeFi
CARVUSDT,Data & Analytics
CATIUSDT,Gaming/Metaverse
CELOUSDT,Layer 1 Blockchains
CELRUSDT,Layer 2 Solutions
CETUSUSDT,DeFi
CFXUSDT,Layer 1 Blockchains
CGPTUSDT,AI/Compute
CHESSUSDT,DeFi
CHILLGUYUSDT,Meme Coins
CHRUSDT,Layer 1 Blockchains
CHZUSDT,Sports & Fan Tokens
CKBUSDT,Layer 1 Blockchains
COCOSUSDT,Gaming/Metaverse
COMBOUSDT,Gaming/Metaverse
COMPUSDT,DeFi
COOKIEUSDT,Meme Coins
COSUSDT,Social & Content
COTIUSDT,Data & Analytics
COWUSDT,DeFi
CROSSUSDT,Gaming/Metaverse
CRVUSDT,DeFi
CTKUSDT_l1,Infrastructure & Tools
CTKUSDT_l2,Infrastructure & Tools
CTSIUSDT,Layer 1 Blockchains
CUDISUSDT,AI/Compute
CUSDT,Data & Analytics
CVCUSDT_l1,Identity & Domains
CVCUSDT_l2,Identity & Domains
CVXUSDT_l1,DeFi
CVXUSDT_l2,DeFi
CYBERUSDT,Social & Content
DAMUSDT,DeFi
DARUSDT,Gaming/Metaverse
DASHUSDT,Privacy Coins
DEEPUSDT,DeFi
DEFIUSDT,DeFi
DEGENUSDT,Meme Coins
DEGOUSDT,DeFi
DENTUSDT,Data & Analytics
DEXEUSDT,DeFi
DFUSDT,DeFi
DGBUSDT,Layer 1 Blockchains
DIAUSDT,Oracles
DMCUSDT,Meme Coins
DODOUSDT,DeFi
DODOXUSDT,DeFi
DOGEUSDT,Meme Coins
DOGSUSDT,Meme Coins
DOLOUSDT,DeFi
DOODUSDT,NFTs
DOTECOUSDT,Interoperability
DOTUSDT,Interoperability
DRIFTUSDT,DeFi
DUSDT,Gaming/Metaverse
DUSKUSDT,Layer 1 Blockchains
DYDXUSDT,DeFi
DYMUSDT,Layer 1 Blockchains
EDUUSDT,Social & Content
EGLDUSDT,Layer 1 Blockchains
EIGENUSDT,DeFi
ENAUSDT,DeFi
ENJUSDT,Gaming/Metaverse
ENSUSDT,Identity & Domains
EOSUSDT,Layer 1 Blockchains
EPICUSDT,Privacy Coins
EPTUSDT,AI/Compute
ERAUSDT,Layer 2 Solutions
ESPORTSUSDT,Gaming/Metaverse
ETCUSDT,Layer 1 Blockchains
ETHFIUSDT,DeFi
ETHUSDT,Layer 1 Blockchains
ETHWUSDT,Layer 1 Blockchains
FARTCOINUSDT,Meme Coins
FETUSDT,AI/Compute
FHEUSDT,AI/Compute
FIDAUSDT,DeFi
FILUSDT,Decentralized Storage
FIOUSDT,Infrastructure & Tools
FISUSDT,DeFi
FLMUSDT,DeFi
FLOWUSDT,Layer 1 Blockchains
FLUXUSDT,AI/Compute
FOOTBALLUSDT,Sports & Fan Tokens
FORMUSDT,Layer 2 Solutions
FORTHUSDT,DeFi
FRONTUSDT,DeFi
FTMUSDT,Layer 1 Blockchains
FTTUSDT,Exchange Tokens
FUNUSDT,Gaming/Metaverse
FUSDT,DeFi
FXSUSDT,DeFi
GALAUSDT,Gaming/Metaverse
GALUSDT,Infrastructure & Tools
GASUSDT,Layer 1 Blockchains
GHSTUSDT,Gaming/Metaverse
GLMRUSDT,Layer 1 Blockchains
GLMUSDT,AI/Compute
GMTUSDT,Gaming/Metaverse
GMXUSDT,DeFi
GOATUSDT,Meme Coins
GPSUSDT,Infrastructure & Tools
GRASSUSDT,AI/Compute
GRIFFAINUSDT,DeFi
GRTUSDT,Oracles
GTCUSDT,Infrastructure & Tools
GUNUSDT,Gaming/Metaverse
GUSDT,DeFi
HAEDALUSDT,DeFi
HBARUSDT,Layer 1 Blockchains
HEIUSDT,Identity & Domains
HEMIUSDT,Layer 1 Blockchains
HFTUSDT,DeFi
HIFIUSDT,DeFi
HIGHUSDT,Gaming/Metaverse
HIPPOUSDT,Meme Coins
HIVEUSDT,Social & Content
HMSTRUSDT,Gaming/Metaverse
HNTUSDT,Infrastructure & Tools
HOMEUSDT,DeFi
HOOKUSDT,Gaming/Metaverse
HOTUSDT,Social & Content
HUMAUSDT,DeFi
HUSDT,Identity & Domains
HYPERUSDT,Interoperability
HYPEUSDT,DeFi
ICNTUSDT,Decentralized Storage
ICPUSDT_l1,Layer 1 Blockchains
ICPUSDT_l2,Layer 1 Blockchains
ICXUSDT,Layer 1 Blockchains
IDEXUSDT,DeFi
IDOLUSDT,Sports & Fan Tokens
IDUSDT,Identity & Domains
ILVUSDT,Gaming/Metaverse
IMXUSDT,NFTs
INITUSDT,Layer 1 Blockchains
INJUSDT,Layer 1 Blockchains
INUSDT,DeFi
IOSTUSDT,Layer 1 Blockchains
IOTAUSDT,Layer 1 Blockchains
IOTXUSDT,Layer 1 Blockchains
IOUSDT,AI/Compute
IPUSDT,NFTs
JASMYUSDT,AI/Compute
JELLYJELLYUSDT,Meme Coins
JOEUSDT,DeFi
JSTUSDT,DeFi
JTOUSDT,DeFi
JUPUSDT,DeFi
KAIAUSDT,Layer 1 Blockchains
KAITOUSDT,AI/Compute
KASUSDT,Layer 1 Blockchains
KAVAUSDT,Layer 1 Blockchains
KDAUSDT,Layer 1 Blockchains
KEEPUSDT,Privacy Coins
KERNELUSDT,DeFi
KEYUSDT,Identity & Domains
KLAYUSDT,Layer 1 Blockchains
KMNOUSDT,DeFi
KNCUSDT,DeFi
KOMAUSDT,Meme Coins
KSMUSDT,Interoperability
LAUSDT,AI/Compute
LAYERUSDT,DeFi
LDOUSDT,DeFi
LENDUSDT,DeFi
LEVERUSDT,DeFi
LINAUSDT,DeFi
LINKUSDT,Oracles
LISTAUSDT,DeFi
LITUSDT,Identity & Domains
LOKAUSDT,Gaming/Metaverse
LOOMUSDT,Layer 2 Solutions
LPTUSDT,AI/Compute
LQTYUSDT,DeFi
LRCUSDT,Layer 2 Solutions
LSKUSDT,Layer 1 Blockchains
LTCUSDT,Layer 1 Blockchains
LUMIAUSDT,DeFi
LUNA2USDT,Layer 1 Blockchains
LUNAUSDT,Layer 1 Blockchains
MAGICUSDT,Gaming/Metaverse
MANAUSDT,NFTs
MANTAUSDT,Layer 2 Solutions
MASKUSDT,Social & Content
MATICUSDT,Layer 2 Solutions
MAVIAUSDT_l1,Gaming/Metaverse
MAVIAUSDT_l2,Gaming/Metaverse
MAVUSDT,DeFi
MBLUSDT,Social & Content
MBOXUSDT,Gaming/Metaverse
MDTUSDT,Data & Analytics
MELANIAUSDT,Meme Coins
MEMEFIUSDT,Meme Coins
MEMEUSDT,Meme Coins
MERLUSDT,Layer 2 Solutions
METISUSDT,Layer 2 Solutions
MEUSDT,NFTs
MEWUSDT,Meme Coins
MILKUSDT,DeFi
MINAUSDT,Layer 1 Blockchains
MITOUSDT,DeFi
MKRUSDT,DeFi
MLNUSDT,DeFi
MOCAUSDT,NFTs
MOODENGUSDT,Meme Coins
MORPHOUSDT,DeFi
MOVEUSDT,Layer 1 Blockchains
MOVRUSDT,Layer 1 Blockchains
MTLUSDT,DeFi
MUBARAKUSDT,Meme Coins
MUSDT,Meme Coins
MYROUSDT,Meme Coins
MYXUSDT,DeFi
NAORISUSDT,Infrastructure & Tools
NEARUSDT,Layer 1 Blockchains
NEIROETHUSDT,Meme Coins
NEIROUSDT,Meme Coins
NEOUSDT,Layer 1 Blockchains
NEWTUSDT,DeFi
NFPUSDT,NFTs
NILUSDT,Privacy Coins
NKNUSDT,Infrastructure & Tools
NMRUSDT,AI/Compute
NOTUSDT,Social & Content
NTRNUSDT,Layer 1 Blockchains
NULSUSDT,Layer 1 Blockchains
NUUSDT,Privacy Coins
NXPCUSDT,Gaming/Metaverse
OBOLUSDT,DeFi
OCEANUSDT,AI/Compute
OGNUSDT,DeFi
OGUSDT,Sports & Fan Tokens
OLUSDT,Gaming/Metaverse
OMGUSDT,Layer 2 Solutions
OMNIUSDT,Interoperability
OMUSDT,Layer 1 Blockchains
ONDOUSDT,DeFi
ONEUSDT,Layer 1 Blockchains
ONGUSDT,Layer 1 Blockchains
ONTUSDT,Layer 1 Blockchains
OPUSDT,Layer 2 Solutions
ORBSUSDT,Infrastructure & Tools
ORCAUSDT,DeFi
ORDIUSDT,NFTs
OXTUSDT,Privacy Coins
PARTIUSDT,Layer 1 Blockchains
PAXGUSDT,Stablecoins
PENDLEUSDT,DeFi
PENGUUSDT,NFTs
PEOPLEUSDT,DeFi
PERPUSDT,DeFi
PHAUSDT,AI/Compute
PHBUSDT,Data & Analytics
PIPPINUSDT,Meme Coins
PIXELUSDT,Gaming/Metaverse
PLAYUSDT,Gaming/Metaverse
PLUMEUSDT,DeFi
PNUTUSDT,Meme Coins
POLUSDT,Layer 2 Solutions
POLYXUSDT,Layer 1 Blockchains
PONKEUSDT,Meme Coins
POPCATUSDT,Meme Coins
PORT3USDT,Data & Analytics
PORTALUSDT,Gaming/Metaverse
POWRUSDT,DeFi
PROMPTUSDT,AI/Compute
PROMUSDT,Data & Analytics
PROVEUSDT,Infrastructure & Tools
PUFFERUSDT,DeFi
PUMPBTCUSDT,DeFi
PUMPUSDT_l1,DeFi
PUMPUSDT_l2,DeFi
PUNDIXUSDT,Infrastructure & Tools
PYTHUSDT,Oracles
QNTUSDT,Interoperability
QTUMUSDT,Layer 1 Blockchains
QUICKUSDT,DeFi
RADUSDT,Infrastructure & Tools
RAREUSDT,NFTs
RAYSOLUSDT,DeFi
RAYUSDT,DeFi
RDNTUSDT,DeFi
REDUSDT,Oracles
REEFUSDT,DeFi
REIUSDT,Layer 1 Blockchains
RENDERUSDT,AI/Compute
RENUSDT,DeFi
RESOLVUSDT,Stablecoins
REZUSDT,DeFi
RIFUSDT,DeFi
RLCUSDT,AI/Compute
RNDRUSDT,AI/Compute
RONINUSDT,Layer 1 Blockchains
ROSEUSDT,Layer 1 Blockchains
RPLUSDT,DeFi
RSRUSDT,DeFi
RUNEUSDT,DeFi
RVNUSDT,Layer 1 Blockchains
SAFEUSDT,Infrastructure & Tools
SAGAUSDT,Layer 1 Blockchains
SAHARAUSDT,AI/Compute
SANDUSDT,NFTs
SANTOSUSDT,Sports & Fan Tokens
SAPIENUSDT,AI/Compute
SCRTUSDT,Privacy Coins
SCRUSDT,Layer 2 Solutions
SCUSDT,Decentralized Storage
SEIUSDT,Layer 1 Blockchains
SFPUSDT,Infrastructure & Tools
SHELLUSDT,AI/Compute
SIGNUSDT,DeFi
SIRENUSDT,DeFi
SKATEUSDT,Infrastructure & Tools
SKLUSDT,Layer 2 Solutions
SKYAIUSDT,AI/Compute
SLERFUSDT,Meme Coins
SLPUSDT_l1,Gaming/Metaverse
SLPUSDT_l2,Gaming/Metaverse
SNTUSDT,Social & Content
SNXUSDT,DeFi
SOLUSDT,Layer 1 Blockchains
SOLVUSDT,DeFi
SOMIUSDT,Gaming/Metaverse
SONICUSDT,Layer 1 Blockchains
SOONUSDT,Layer 1 Blockchains
SOPHUSDT,Gaming/Metaverse
SPELLUSDT,DeFi
SPKUSDT,DeFi
SPXUSDT,Meme Coins
SQDUSDT,Data & Analytics
SRMUSDT,DeFi
SSVUSDT,DeFi
STEEMUSDT,Social & Content
STGUSDT,Interoperability
STMXUSDT,Infrastructure & Tools
STORJUSDT,Decentralized Storage
STOUSDT,DeFi
STPTUSDT,Infrastructure & Tools
STRAXUSDT,Layer 1 Blockchains
STRKUSDT,Layer 2 Solutions
STXUSDT,Layer 1 Blockchains
SUIUSDT,Layer 1 Blockchains
SUNUSDT,DeFi
SUPERUSDT,DeFi
SUSDT,Gaming/Metaverse
SUSHIUSDT,DeFi
SWARMSUSDT,AI/Compute
SWELLUSDT,DeFi
SXPUSDT,Layer 1 Blockchains
SXTUSDT,Data & Analytics
SYNUSDT,Interoperability
SYRUPUSDT,DeFi
SYSUSDT,Layer 1 Blockchains
TACUSDT,Layer 1 Blockchains
TAGUSDT,AI/Compute
TAIKOUSDT,Layer 2 Solutions
TANSSIUSDT,Infrastructure & Tools
TAOUSDT,AI/Compute
TAUSDT,AI/Compute
THETAUSDT,Social & Content
THEUSDT,DeFi
TIAUSDT,Layer 1 Blockchains
TLMUSDT_l1,Gaming/Metaverse
TLMUSDT_l2,Gaming/Metaverse
TNSRUSDT,NFTs
TOKENUSDT,DeFi
TOMOUSDT,Meme Coins
TONUSDT,Layer 1 Blockchains
TOWNSUSDT,Social & Content
TRBUSDT,Oracles
TREEUSDT,DeFi
TROYUSDT,Infrastructure & Tools
TRUMPUSDT,Meme Coins
TRUUSDT,DeFi
TRXUSDT,Layer 1 Blockchains
TSTUSDT,Meme Coins
TURBOUSDT,Meme Coins
TUSDT,DeFi
TUTUSDT,AI/Compute
TWTUSDT,Exchange Tokens
UMAUSDT,DeFi
UNFIUSDT,DeFi
UNIUSDT,DeFi
USDCUSDT,Stablecoins
USELESSUSDT,Meme Coins
USTCUSDT,Stablecoins
USUALUSDT,DeFi
UXLINKUSDT,Infrastructure & Tools
VANAUSDT,AI/Compute
VANRYUSDT,Layer 1 Blockchains
VELODROMEUSDT,DeFi
VELVETUSDT,DeFi
VETUSDT,Layer 1 Blockchains
VICUSDT,Layer 1 Blockchains
VIDTUSDT,Data & Analytics
VINEUSDT,Meme Coins
VIRTUALUSDT,AI/Compute
VOXELUSDT,Gaming/Metaverse
VTHOUSDT,Layer 1 Blockchains
VVVUSDT,AI/Compute
WALUSDT,Decentralized Storage
WAVESUSDT,Layer 1 Blockchains
WAXPUSDT,NFTs
WCTUSDT,Infrastructure & Tools
WIFUSDT,Meme Coins
WLDUSDT,AI/Compute
WLFIUSDT,DeFi
WOOUSDT,Exchange Tokens
WUSDT,Interoperability
XAIUSDT,Gaming/Metaverse
